LN = -8.09992; L2 = -0.169784
LN = -8.09993; L2 = -0.189421
LN = -8.10166; L2 = -0.184554
LN = -8.10166; L2 = -0.184554
LN = -8.64655; L2 = -0.166513
LN = -8.64655; L2 = -0.166513
LN = -8.04959; L2 = -0.205879
LN = -8.04959; L2 = -0.205879
LN = -8.20043; L2 = -0.207701
LN = -8.20043; L2 = -0.207701
LN = -8.33373; L2 = -0.222351
LN = -8.33373; L2 = -0.222351
LN = -8.2216; L2 = -0.213771
LN = -8.2216; L2 = -0.213771
LN = -7.97496; L2 = -0.204124
LN = -7.97496; L2 = -0.204124
LN = -7.97241; L2 = -0.203673
LN = -7.97241; L2 = -0.203673
LN = -8.17496; L2 = -0.185207
LN = -8.17496; L2 = -0.185207
LN = -8.22062; L2 = -0.190746
LN = -8.22062; L2 = -0.190746
LN = -8.22052; L2 = -0.186128
LN = -8.22052; L2 = -0.186128
LN = -8.21728; L2 = -0.188679
LN = -8.21728; L2 = -0.188679
LN = -8.19492; L2 = -0.191342
LN = -8.19492; L2 = -0.191342
LN = -8.20992; L2 = -0.0892223
LN = -8.19492; L2 = -0.191342
LN = -8.19362; L2 = -0.207098
LN = -8.19362; L2 = -0.207098
LN = -8.20112; L2 = -0.133926
LN = -8.20112; L2 = -0.133926
LN = -7.66079; L2 = -0.178672
LN = -7.66079; L2 = -0.178672
LN = -7.65293; L2 = -0.207446
LN = -7.65293; L2 = -0.207446
LN = -7.63365; L2 = -0.20609
LN = -7.63365; L2 = -0.20609
LN = -7.86514; L2 = -0.209148
LN = -7.86514; L2 = -0.209148
LN = -7.84993; L2 = -0.181424
LN = -7.84993; L2 = -0.181424
LN = -7.85233; L2 = -0.185812
LN = -7.85233; L2 = -0.185812
LN = -7.85262; L2 = -0.158773
LN = -7.85262; L2 = -0.158773
LN = -7.95802; L2 = -0.158795
LN = -7.95802; L2 = -0.158795
LN = -7.95921; L2 = -0.16332
LN = -7.95921; L2 = -0.16332
LN = -7.84018; L2 = -0.161777
LN = -7.84018; L2 = -0.161777
LN = -8.24446; L2 = -0.161078
LN = -8.24446; L2 = -0.161078
LN = -8.32642; L2 = -0.157419
LN = -8.24446; L2 = -0.161078
LN = -8.24333; L2 = -0.173865
LN = -8.24333; L2 = -0.173865
LN = -7.77517; L2 = -0.146512
LN = -7.77517; L2 = -0.146512
LN = -7.77966; L2 = -0.168479
LN = -7.77966; L2 = -0.168479
LN = -7.78791; L2 = -0.157454
LN = -7.78791; L2 = -0.157454
LN = -7.7822; L2 = -0.170764
LN = -7.7822; L2 = -0.170764
LN = -7.78208; L2 = -0.183582
LN = -7.78208; L2 = -0.183582
LN = -7.72196; L2 = -0.184877
LN = -7.72196; L2 = -0.184877
LN = -7.64746; L2 = -0.183295
LN = -7.64746; L2 = -0.183295
LN = -7.64655; L2 = -0.185907
LN = -7.64655; L2 = -0.185907
LN = -7.65091; L2 = -0.188773
LN = -7.65091; L2 = -0.188773
LN = -7.67139; L2 = -0.188975
LN = -7.67139; L2 = -0.188975
LN = -8.41942; L2 = -0.180654
LN = -8.41942; L2 = -0.180654
LN = -8.43086; L2 = -0.16765
LN = -8.43086; L2 = -0.16765
LN = -8.43325; L2 = -0.170214
LN = -8.43325; L2 = -0.170214
LN = -8.4326; L2 = -0.173748
LN = -8.4326; L2 = -0.173748
LN = -8.43257; L2 = -0.177473
LN = -8.43257; L2 = -0.177473
LN = -8.42525; L2 = -0.185516
LN = -8.42525; L2 = -0.185516
LN = -8.42483; L2 = -0.178517
LN = -8.42483; L2 = -0.178517
LN = -8.42604; L2 = -0.180842
LN = -8.42604; L2 = -0.180842
LN = -8.42786; L2 = -0.205849
LN = -8.42786; L2 = -0.205849
LN = -8.42692; L2 = -0.213292
LN = -8.42692; L2 = -0.213292
LN = -8.43512; L2 = -0.189022
LN = -8.43512; L2 = -0.189022
LN = -8.48778; L2 = -0.169698
LN = -8.48778; L2 = -0.169698
LN = -8.48997; L2 = -0.207443
LN = -8.48997; L2 = -0.207443
LN = -8.4171; L2 = -0.206326
LN = -8.4171; L2 = -0.206326
LN = -8.41548; L2 = -0.172732
LN = -8.4171; L2 = -0.206326
LN = -8.41781; L2 = -0.228919
LN = -8.41781; L2 = -0.228919
LN = -8.41718; L2 = -0.188476
LN = -8.41718; L2 = -0.188476
LN = -7.68671; L2 = -0.186885
LN = -7.68671; L2 = -0.186885
LN = -7.6871; L2 = -0.186879
LN = -7.6871; L2 = -0.186879
LN = -7.67505; L2 = -0.180825
LN = -7.67505; L2 = -0.180825
LN = -7.67248; L2 = -0.201974
LN = -7.67248; L2 = -0.201974
LN = -7.64198; L2 = -0.196224
LN = -7.64198; L2 = -0.196224
LN = -7.64504; L2 = -0.155475
LN = -7.64504; L2 = -0.155475
LN = -7.64742; L2 = -0.153136
LN = -7.64742; L2 = -0.153136
LN = -7.64749; L2 = -0.129084
LN = -7.64749; L2 = -0.129084
