Iteration CurSyncRatio NextSyncRatio
731 30.1104 33.2798
732 33.2798 38.8146
733 33.2798 35.4783
734 35.4783 36.0917
735 36.0917 38.6073
736 36.0917 37.7624
737 37.7624 37.9788
738 37.9788 36.0639
739 36.0639 36.2611
740 36.2611 41.0207
741 36.2611 36.5213
742 36.5213 36.372
743 36.372 45.4397
744 36.372 37.7051
745 37.7051 41.322
746 37.7051 37.1948
747 37.1948 40.4291
748 37.1948 47.4632
749 37.1948 41.2797
750 37.1948 37.352
751 37.352 36.4841
752 36.4841 40.11
753 40.11 39.8079
754 39.8079 46.2813
755 39.8079 43.8244
756 43.8244 46.6251
757 43.8244 61.3992
758 43.8244 47.7393
759 47.7393 67.7633
760 47.7393 43.3156
761 43.3156 43.4471
762 43.4471 43.8628
763 43.8628 41.5211
764 41.5211 39.7454
765 39.7454 41.0057
766 39.7454 36.9034
767 36.9034 39.5046
768 36.9034 45.0568
769 36.9034 37.1795
770 37.1795 38.2988
771 38.2988 38.1481
772 38.1481 36.7563
773 36.7563 36.5998
774 36.5998 38.3571
775 36.5998 39.7015
776 39.7015 44.3341
777 39.7015 36.5322
778 36.5322 37.6216
779 37.6216 40.3268
780 37.6216 35.6854
781 35.6854 44.492
782 35.6854 34.7377
783 34.7377 38.8362
784 34.7377 45.8
785 34.7377 34.4271
786 34.4271 36.434
787 34.4271 34.4536
788 34.4536 35.3987
789 34.4536 41.8047
790 34.4536 34.0526
791 34.0526 35.3213
792 35.3213 37.3546
793 35.3213 35.0063
794 35.0063 39.2564
795 35.0063 54.9954
796 35.0063 35.0385
797 35.0385 38.6161
798 38.6161 39.9714
799 38.6161 40.2985
800 40.2985 40.1148
801 40.1148 55.9833
802 40.1148 40.17
803 40.17 39.2633
804 39.2633 40.7553
805 40.7553 39.8894
806 39.8894 49.8062
807 39.8894 40.0061
808 40.0061 49.2695
809 40.0061 39.1047
810 39.1047 42.0185
811 42.0185 41.9409
812 41.9409 40.3609
813 40.3609 53.592
814 40.3609 38.9869
815 38.9869 44.8623
816 38.9869 40.3431
817 38.9869 38.6019
818 38.6019 38.3808
819 38.3808 36.0568
820 36.0568 36.0051
821 36.0051 36.4796
822 36.4796 35.5616
823 35.5616 35.7259
824 35.7259 33.7119
825 33.7119 32.5723
826 32.5723 33.07
827 33.07 35.3013
828 33.07 37.3435
829 33.07 31.6729
830 31.6729 32.8141
831 31.6729 27.519
832 27.519 29.8545
833 29.8545 37.4783
834 29.8545 29.3869
835 29.3869 42.7384
836 29.3869 43.3362
837 29.3869 31.039
838 31.039 35.6488
839 31.039 39.7762
840 31.039 43.6069
841 31.039 31.6386
842 31.039 36.8836
843 31.039 36.7001
